index,valence_1,valence_2,valence_3,valence_4,valence_5,valence_6,valence_7,valence_8,arousal_1,arousal_2,arousal_3,arousal_4,arousal_5,arousal_6,arousal_7,arousal_8
S01E02R02_clip0027,6,5.0,5,6,5,6,5.0,5,4,1.0,3,6,5,5,4.0,4
S01E02R02_clip0028,6,3.0,5,5,5,5,5.0,5,4,1.0,3,5,4,5,4.0,4
S01E02R02_clip0029,5,5.0,5,5,1,5,5.0,5,4,1.0,3,5,1,5,3.0,4
S01E02R02_clip0030,5,5.0,5,5,1,5,5.0,5,4,1.0,3,5,1,4,3.0,4
S01E02R02_clip0031,5,5.0,5,5,7,5,5.0,5,4,1.0,3,5,5,4,3.0,4
S01E02R02_clip0032,5,5.0,5,5,5,5,5.0,5,4,1.0,3,5,1,4,3.0,5
S01E02R02_clip0033,5,5.0,5,5,5,5,5.0,5,4,1.0,3,5,5,4,3.0,4
S01E02R02_clip0034,5,5.0,5,6,8,5,5.0,5,4,1.0,3,5,1,4,3.0,4
S01E02R02_clip0035,5,5.0,5,7,8,5,5.0,5,4,1.0,3,5,1,4,3.0,4
S01E02R02_clip0036,6,5.0,5,7,1,5,5.0,5,4,1.0,3,5,1,4,3.0,4
S01E02R02_clip0037,5,5.0,5,4,2,5,5.0,5,4,1.0,3,5,2,4,3.0,4
S01E02R02_clip0038,5,5.0,5,5,1,5,5.0,5,4,1.0,3,5,1,4,3.0,4
S01E02R02_clip0039,5,5.0,5,4,1,5,5.0,5,4,1.0,3,6,1,4,3.0,4
S01E02R02_clip0040,5,5.0,5,4,5,5,5.0,5,4,1.0,3,6,5,4,3.0,4
S01E02R02_clip0041,5,5.0,5,5,5,5,5.0,5,4,1.0,3,5,5,4,3.0,4
S01E02R02_clip0042,5,5.0,5,5,2,5,5.0,5,4,1.0,3,5,6,4,3.0,4
S01E02R02_clip0043,5,5.0,5,4,1,5,5.0,5,4,1.0,3,6,7,4,3.0,4
S01E02R02_clip0044,5,5.0,5,4,1,5,5.0,5,4,1.0,3,6,7,4,3.0,4
S01E02R02_clip0045,5,5.0,5,4,1,5,5.0,5,4,1.0,3,6,6,4,3.0,4
S01E02R02_clip0046,5,5.0,5,4,6,5,5.0,5,4,1.0,3,6,5,4,3.0,4
S01E02R02_clip0047,6,5.0,5,5,2,5,5.0,5,4,1.0,3,4,2,4,3.0,4
S01E02R02_clip0048,5,5.0,5,6,7,5,5.0,5,4,1.0,3,4,3,4,3.0,4
S01E02R02_clip0049,5,5.0,5,5,6,5,5.0,5,4,1.0,3,4,1,4,3.0,4
S01E02R02_clip0050,5,5.0,5,5,3,5,5.0,5,4,1.0,3,3,3,4,3.0,4
S01E02R02_clip0051,5,5.0,5,6,1,5,5.0,5,4,1.0,3,3,1,4,3.0,4
S01E02R02_clip0052,5,5.0,5,5,5,5,5.0,5,4,1.0,3,5,7,4,3.0,4
S01E02R02_clip0053,5,5.0,5,5,1,5,5.0,5,4,1.0,3,5,5,4,3.0,4
S01E02R02_clip0054,5,5.0,5,4,1,5,5.0,5,4,1.0,3,6,8,4,5.0,4
S01E02R02_clip0055,5,5.0,5,4,5,5,5.0,5,4,1.0,3,6,5,4,5.0,4
S01E02R02_clip0056,5,5.0,5,3,1,5,5.0,5,4,1.0,3,7,6,4,5.0,4
S01E02R02_clip0057,5,5.0,5,3,1,5,5.0,5,4,1.0,3,7,1,4,5.0,4
S01E02R02_clip0058,5,5.0,5,3,1,5,5.0,5,4,1.0,3,6,1,4,5.0,4
S01E02R02_clip0059,5,5.0,5,3,1,5,5.0,5,4,1.0,3,6,1,4,5.0,4
S01E02R02_clip0060,5,5.0,5,3,1,5,5.0,5,4,1.0,3,6,3,4,5.0,4
S01E02R02_clip0061,5,5.0,5,4,2,5,5.0,5,4,1.0,3,4,5,4,5.0,4
S01E02R02_clip0062,5,5.0,5,4,1,5,5.0,5,4,1.0,3,4,5,4,5.0,4
S01E02R02_clip0063,5,5.0,5,4,2,5,5.0,5,4,1.0,3,4,2,4,5.0,4
S01E02R02_clip0064,5,5.0,5,4,1,5,5.0,5,4,1.0,3,5,5,4,5.0,4
S01E02R02_clip0065,4,5.0,5,4,5,4,5.0,5,4,1.0,3,5,5,5,5.0,4
S01E02R02_clip0066,4,5.0,5,4,1,4,5.0,5,4,1.0,3,3,5,5,5.0,4
S01E02R02_clip0067,4,5.0,5,4,2,4,5.0,5,4,1.0,3,3,2,5,5.0,4
S01E02R02_clip0068,4,5.0,5,4,1,4,5.0,5,4,1.0,3,4,1,5,5.0,4
S01E02R02_clip0069,4,5.0,5,4,1,4,5.0,5,4,1.0,3,5,1,5,5.0,4
S01E02R02_clip0070,4,3.0,5,4,4,4,5.0,5,4,3.0,3,5,4,6,5.0,4
S01E02R02_clip0071,4,3.0,5,5,5,4,5.0,5,4,3.0,3,3,5,6,5.0,4
S01E02R02_clip0072,4,1.0,5,3,5,4,5.0,5,4,3.0,3,5,5,6,5.0,4
S01E02R02_clip0073,4,3.0,5,3,5,4,5.0,5,4,3.0,3,5,5,6,5.0,4
S01E02R02_clip0074,4,3.0,5,3,5,4,5.0,5,4,3.0,3,6,5,6,6.0,4
S01E02R02_clip0075,4,3.0,5,3,5,4,5.0,5,4,3.0,3,6,5,6,6.0,4
S01E02R02_clip0076,4,3.0,5,3,5,4,5.0,5,4,3.0,3,7,5,6,6.0,4
S01E02R02_clip0077,4,3.0,5,3,1,4,5.0,5,4,3.0,3,8,1,6,6.0,4
S01E02R02_clip0078,4,3.0,5,3,5,4,5.0,5,4,3.0,3,7,5,6,6.0,5
S01E02R02_clip0079,4,3.0,5,4,1,4,5.0,5,4,3.0,3,6,1,6,6.0,4
S01E02R02_clip0080,4,3.0,5,4,1,4,5.0,5,4,3.0,3,7,6,6,6.0,4
S01E02R02_clip0081,4,3.0,5,2,1,4,,5,4,3.0,3,8,7,7,,4
S01E02R02_clip0082,4,3.0,5,2,1,4,,5,4,3.0,3,8,7,7,,4
S01E02R02_clip0083,4,3.0,5,2,1,4,,5,4,3.0,3,8,7,7,,4
S01E02R02_clip0084,4,3.0,5,2,1,4,,5,4,3.0,3,8,7,7,,4
S01E02R02_clip0085,4,3.0,5,3,1,4,,5,4,3.0,3,7,5,7,,5
S01E02R02_clip0086,4,3.0,5,4,1,4,,5,4,3.0,3,6,5,7,,5
S01E02R02_clip0087,4,3.0,5,4,1,4,,5,4,3.0,3,6,6,7,,4
S01E02R02_clip0088,4,3.0,5,4,1,4,,5,4,3.0,3,5,5,7,,4
S01E02R02_clip0089,4,3.0,5,4,1,4,,5,4,3.0,3,6,6,8,,4
S01E02R02_clip0090,5,3.0,5,4,1,4,,5,4,3.0,3,6,1,5,,4
S01E02R02_clip0091,5,3.0,5,6,1,4,,5,4,3.0,3,5,9,5,,4
S01E02R02_clip0092,5,3.0,5,4,1,4,,5,4,3.0,3,6,9,5,,4
S01E02R02_clip0093,5,5.0,5,3,1,4,,5,4,1.0,3,6,4,5,,4
S01E02R02_clip0094,5,5.0,5,3,1,4,,3,4,1.0,3,6,1,5,,5
S01E02R02_clip0095,5,3.0,5,3,1,4,,4,4,1.0,3,6,1,5,,4
S01E02R02_clip0096,5,3.0,5,3,1,4,,5,4,1.0,3,6,1,5,,4
S01E02R02_clip0097,5,3.0,5,3,1,4,,5,4,1.0,3,6,1,5,,4
S01E02R02_clip0098,5,3.0,5,5,1,5,,5,5,3.0,3,5,1,5,,4
S01E02R02_clip0099,5,3.0,5,5,1,5,,5,5,3.0,3,5,1,5,,4
S01E02R02_clip0100,5,3.0,5,5,2,5,,5,5,3.0,3,6,2,5,,4
S01E02R02_clip0101,5,3.0,5,5,1,5,,5,5,3.0,3,6,1,5,,4
S01E02R02_clip0102,4,3.0,5,3,1,5,,4,5,3.0,3,7,1,6,,6
S01E02R02_clip0103,4,3.0,5,3,1,5,,4,5,3.0,3,7,1,6,,6
S01E02R02_clip0104,4,3.0,5,3,1,5,,4,5,3.0,3,8,1,6,,6
S01E02R02_clip0105,5,3.0,5,3,1,5,,4,5,3.0,3,8,1,6,,6
S01E02R02_clip0106,6,3.0,5,3,1,5,,4,5,3.0,3,8,1,6,,6
S01E02R02_clip0107,6,3.0,5,3,1,5,,4,5,3.0,3,8,1,6,,6
S01E02R02_clip0108,6,3.0,5,3,1,5,,4,5,3.0,3,8,1,6,,6
S01E02R02_clip0109,6,3.0,5,3,1,5,,4,5,3.0,3,8,1,6,,6
S01E02R02_clip0110,6,3.0,5,3,1,5,,4,5,3.0,3,7,1,6,,6
S01E02R02_clip0111,6,3.0,5,3,1,5,,4,5,3.0,3,7,1,6,,6
S01E02R02_clip0112,6,5.0,5,4,1,5,,5,4,1.0,3,6,1,5,,4
S01E02R02_clip0113,6,5.0,5,4,1,5,,5,4,1.0,3,6,1,5,,4
S01E02R02_clip0114,6,5.0,5,4,1,5,,5,4,1.0,3,6,1,5,,4
S01E02R02_clip0115,6,5.0,5,4,1,5,,5,4,1.0,3,6,1,5,,4
S01E02R02_clip0116,6,5.0,5,4,1,5,,5,4,1.0,3,6,1,5,,4
S01E02R02_clip0117,6,5.0,5,4,1,5,,5,4,1.0,3,6,1,5,,4
S01E02R02_clip0118,6,5.0,5,4,1,5,,5,4,1.0,3,6,1,5,,4
S01E02R02_clip0119,6,5.0,5,4,1,5,,5,4,1.0,3,6,1,5,,4
S01E02R02_clip0120,6,5.0,5,4,1,5,,5,4,1.0,3,6,1,5,,4
S01E02R02_clip0121,6,5.0,5,4,1,5,,5,4,1.0,3,6,1,5,,4
S01E02R02_clip0122,6,5.0,5,4,1,5,,5,4,1.0,3,6,1,5,,4
S01E02R02_clip0123,6,5.0,5,4,1,5,,5,5,1.0,3,6,1,5,,4
S01E02R02_clip0124,6,5.0,5,5,1,5,,5,5,1.0,3,4,1,5,,4
S01E02R02_clip0125,6,5.0,5,5,1,5,,5,5,1.0,3,4,1,5,,4
S01E02R02_clip0126,6,5.0,5,5,1,5,,5,5,1.0,3,4,1,5,,4
S01E02R02_clip0127,6,5.0,5,5,1,4,,5,5,1.0,3,4,1,5,,4
S01E02R02_clip0128,6,,5,5,1,4,,5,5,,3,4,1,5,,4
S01E02R02_clip0129,6,5.0,5,5,1,4,,5,5,1.0,3,3,1,5,,4
S01E02R02_clip0130,6,5.0,5,5,1,4,,5,5,1.0,3,3,1,5,,4
S01E02R02_clip0131,6,5.0,5,5,1,4,,5,5,1.0,3,4,1,5,,4
S01E02R02_clip0132,6,5.0,5,5,1,4,,5,5,1.0,3,3,1,5,,4
S01E02R02_clip0133,6,5.0,5,5,1,4,,5,5,1.0,3,3,1,5,,4
S01E02R02_clip0134,6,5.0,5,5,1,4,,5,5,1.0,3,3,1,5,,4
S01E02R02_clip0135,6,5.0,5,4,1,4,,5,4,1.0,3,3,1,5,,4
S01E02R02_clip0136,6,5.0,5,4,1,5,,5,4,1.0,3,3,1,5,,4
S01E02R02_clip0137,6,5.0,5,4,1,5,,5,4,1.0,3,3,1,5,,4
S01E02R02_clip0138,6,5.0,5,5,1,5,,5,4,1.0,3,3,1,5,,4
S01E02R02_clip0139,6,5.0,5,5,1,5,,5,4,1.0,3,3,1,5,,4
S01E02R02_clip0140,6,5.0,5,5,1,5,,5,4,1.0,3,3,1,5,,4
S01E02R02_clip0141,6,5.0,5,5,1,5,,5,4,1.0,3,3,1,5,,4
S01E02R02_clip0142,5,5.0,5,5,1,5,,5,4,1.0,3,3,1,5,,4
S01E02R02_clip0143,5,5.0,5,5,1,5,,5,4,1.0,3,3,1,5,,4
S01E02R02_clip0144,5,5.0,5,5,1,5,,5,4,1.0,3,3,1,5,,4
S01E02R02_clip0145,6,5.0,5,5,1,5,,5,4,1.0,3,3,1,5,,4
S01E02R02_clip0146,6,5.0,5,5,1,5,,5,4,1.0,3,3,1,5,,4
S01E02R02_clip0147,6,5.0,5,5,1,5,,5,4,1.0,3,3,1,5,,4
S01E02R02_clip0148,6,5.0,5,5,1,5,,5,4,1.0,3,3,1,5,,4
S01E02R02_clip0149,6,5.0,5,5,1,5,,5,4,1.0,3,3,1,5,,4
S01E02R02_clip0150,6,5.0,5,4,1,5,,5,4,1.0,3,4,5,5,,4
S01E02R02_clip0151,6,5.0,5,4,1,5,,5,4,1.0,3,6,1,5,,4
S01E02R02_clip0152,6,5.0,5,4,1,5,,5,4,1.0,3,6,1,5,,4
S01E02R02_clip0153,6,5.0,5,4,1,5,,5,4,1.0,3,6,1,5,,4
S01E02R02_clip0154,6,5.0,5,4,1,5,,5,4,1.0,3,6,1,5,,4
S01E02R02_clip0155,6,5.0,5,4,1,5,,5,4,1.0,3,4,1,5,,4
S01E02R02_clip0156,6,5.0,5,4,1,5,,5,4,1.0,3,6,1,5,,4
S01E02R02_clip0157,6,5.0,5,4,1,5,,5,4,1.0,3,6,1,5,,4
S01E02R02_clip0158,6,5.0,5,4,1,5,,5,4,1.0,3,6,1,5,,4
S01E02R02_clip0159,6,5.0,5,4,1,5,,5,4,1.0,3,6,1,5,,4
S01E02R02_clip0160,6,5.0,5,4,1,5,,5,4,1.0,3,6,1,5,,4
S01E02R02_clip0161,6,5.0,5,5,1,5,,5,4,1.0,3,5,1,5,,4
S01E02R02_clip0162,6,5.0,5,5,2,5,,5,4,1.0,3,4,2,5,,4
S01E02R02_clip0163,6,5.0,5,5,1,5,,5,4,1.0,3,4,6,5,,4
S01E02R02_clip0164,6,5.0,5,5,1,5,,5,4,1.0,3,5,1,5,,4
S01E02R02_clip0165,6,5.0,5,5,1,5,,5,4,1.0,3,5,1,5,,4
S01E02R02_clip0166,6,5.0,5,4,1,5,,5,4,1.0,3,5,5,5,,4
S01E02R02_clip0167,6,5.0,5,4,1,5,,5,4,1.0,3,6,5,5,,4
S01E02R02_clip0168,6,5.0,5,4,3,5,,5,4,1.0,3,6,5,5,,4
S01E02R02_clip0169,6,5.0,5,4,1,5,,5,4,1.0,3,6,1,5,,4
S01E02R02_clip0170,6,5.0,5,4,1,5,,5,4,1.0,3,6,1,5,,4
S01E02R02_clip0171,6,5.0,5,4,1,5,,5,4,1.0,3,5,5,5,,4
S01E02R02_clip0172,6,5.0,5,4,1,5,,5,4,1.0,3,5,6,5,,4
S01E02R02_clip0173,6,5.0,5,4,1,5,,5,4,1.0,3,6,5,5,,4
S01E02R02_clip0174,6,5.0,5,4,1,5,,5,4,1.0,3,6,6,5,,4
S01E02R02_clip0175,6,5.0,5,3,1,4,,5,4,1.0,3,5,5,5,,4
S01E02R02_clip0176,5,5.0,5,3,1,4,,4,3,1.0,3,5,1,5,,4
S01E02R02_clip0177,5,5.0,5,3,1,4,,5,3,1.0,3,5,5,5,,4
S01E02R02_clip0178,5,5.0,5,3,1,4,,4,3,1.0,3,6,1,5,,4
S01E02R02_clip0179,5,5.0,5,3,1,4,,4,3,1.0,3,6,1,5,,4
S01E02R02_clip0180,5,5.0,5,2,1,4,,5,3,1.0,3,7,1,5,,4
S01E02R02_clip0181,5,5.0,5,2,1,3,,5,3,1.0,3,7,1,5,,4
S01E02R02_clip0182,5,5.0,5,3,1,4,,5,3,1.0,3,6,1,5,,4
S01E02R02_clip0183,5,5.0,5,3,1,4,,5,3,1.0,3,6,1,5,,4
S01E02R02_clip0184,4,5.0,5,3,1,4,,5,3,1.0,3,5,1,5,,4
S01E02R02_clip0185,4,5.0,5,4,1,4,,5,3,1.0,3,5,1,5,,4
S01E02R02_clip0186,5,5.0,5,6,1,4,,5,3,1.0,3,4,7,5,,4
S01E02R02_clip0187,5,5.0,5,6,1,4,,5,3,1.0,3,4,5,5,,4
S01E02R02_clip0188,5,5.0,5,5,1,4,,5,3,1.0,3,4,7,5,,4
S01E02R02_clip0189,5,5.0,5,5,1,4,,5,3,1.0,3,4,6,5,,4
S01E02R02_clip0190,6,5.0,5,5,1,4,,5,3,1.0,3,4,7,5,,4
S01E02R02_clip0191,6,5.0,5,4,1,4,,5,3,1.0,3,4,1,5,,4
S01E02R02_clip0192,6,5.0,5,4,1,4,,5,3,1.0,3,4,1,5,,4
S01E02R02_clip0193,6,5.0,5,4,1,3,,5,3,1.0,3,4,1,5,,4
S01E02R02_clip0194,6,5.0,5,5,1,3,,5,3,1.0,3,6,1,5,,4
S01E02R02_clip0195,6,5.0,5,5,1,3,,5,3,1.0,3,6,1,5,,4
S01E02R02_clip0196,6,5.0,5,5,1,4,,5,3,1.0,3,6,1,5,,4
S01E02R02_clip0197,6,5.0,5,5,1,4,,5,3,1.0,3,6,1,5,,4
S01E02R02_clip0198,6,5.0,5,4,1,3,,5,3,1.0,3,7,1,5,,4
S01E02R02_clip0199,6,5.0,5,5,1,3,,5,3,1.0,3,5,1,5,,4
S01E02R02_clip0200,6,5.0,5,6,1,3,,5,3,1.0,3,4,1,5,,4
S01E02R02_clip0201,6,5.0,5,4,1,3,,5,3,1.0,3,4,1,5,,5
S01E02R02_clip0202,6,5.0,5,4,1,3,,5,3,1.0,3,4,1,5,,5
S01E02R02_clip0203,6,5.0,5,4,1,3,,5,3,1.0,3,4,1,5,,5
S01E02R02_clip0204,6,5.0,5,6,1,3,,5,3,1.0,3,5,1,5,,5
S01E02R02_clip0205,6,5.0,5,5,1,3,,5,3,1.0,3,4,1,5,,5
S01E02R02_clip0206,6,5.0,5,5,1,4,,5,3,1.0,3,7,1,5,,5
S01E02R02_clip0207,6,5.0,5,5,1,4,,5,3,1.0,3,7,1,5,,5
S01E02R02_clip0208,6,5.0,5,5,1,4,,5,3,1.0,3,5,1,5,,5
S01E02R02_clip0209,6,5.0,5,5,1,5,,5,3,1.0,3,5,1,5,,4
S01E02R02_clip0210,6,5.0,5,5,3,5,,5,3,1.0,3,5,1,5,,4
S01E02R02_clip0211,5,5.0,5,5,1,5,,5,3,1.0,3,3,1,5,,4
S01E02R02_clip0212,5,5.0,5,5,1,5,,5,3,1.0,3,3,1,5,,4
S01E02R02_clip0213,5,5.0,5,5,1,5,,5,3,1.0,3,3,1,5,,4
S01E02R02_clip0214,5,5.0,5,5,1,5,,5,3,1.0,3,3,1,5,,4
S01E02R02_clip0215,5,5.0,5,5,1,5,,5,3,1.0,3,3,1,5,,4
S01E02R02_clip0216,5,5.0,5,5,1,5,,5,3,1.0,3,3,1,5,,4
S01E02R02_clip0217,5,5.0,5,5,1,5,,5,3,1.0,3,3,1,5,,4
S01E02R02_clip0218,4,5.0,5,5,1,5,,5,3,1.0,3,3,1,5,,4
S01E02R02_clip0219,4,5.0,5,4,1,5,,5,3,1.0,3,5,1,5,,4
S01E02R02_clip0220,4,5.0,5,4,1,5,,5,3,1.0,3,5,1,5,,4
S01E02R02_clip0221,4,5.0,5,4,1,5,,5,3,1.0,3,5,1,5,,4
S01E02R02_clip0222,4,5.0,5,5,1,5,,5,3,1.0,3,3,1,5,,4
S01E02R02_clip0223,4,5.0,5,5,1,5,,5,3,1.0,3,3,1,5,,4
S01E02R02_clip0224,4,5.0,5,5,1,5,,5,3,1.0,4,3,1,5,,4
S01E02R02_clip0225,5,5.0,5,5,1,5,,5,3,1.0,3,6,1,5,,4
S01E02R02_clip0226,5,5.0,5,5,1,5,,5,3,1.0,3,4,1,5,,4
S01E02R02_clip0227,5,5.0,5,5,1,5,,5,3,1.0,3,4,1,5,,4
S01E02R02_clip0228,5,5.0,5,5,1,5,,5,3,1.0,3,4,1,5,,4
S01E02R02_clip0229,5,5.0,5,5,1,5,,5,3,1.0,3,4,1,5,,4
S01E02R02_clip0230,5,5.0,5,5,1,5,,5,3,1.0,3,4,1,5,,4
S01E02R02_clip0231,5,5.0,5,5,1,5,,5,3,1.0,3,4,1,5,,4
S01E02R02_clip0232,5,5.0,5,5,1,5,,5,3,1.0,3,4,5,5,,4
S01E02R02_clip0233,5,5.0,5,4,1,5,,5,3,1.0,3,5,5,5,,4
S01E02R02_clip0234,5,5.0,5,5,1,5,,5,3,1.0,3,3,1,5,,4
S01E02R02_clip0235,5,5.0,5,5,1,5,,5,3,1.0,3,3,1,5,,4
S01E02R02_clip0236,5,5.0,5,5,1,5,,5,3,1.0,3,3,6,5,,4
S01E02R02_clip0237,5,5.0,5,5,1,5,,5,3,1.0,3,3,5,5,,4
S01E02R02_clip0238,5,5.0,5,5,1,5,,5,3,1.0,3,3,5,5,,4
S01E02R02_clip0239,5,5.0,5,5,1,5,,5,3,1.0,3,3,1,5,,4
S01E02R02_clip0240,5,5.0,5,5,1,5,,5,3,1.0,3,3,1,5,,4
S01E02R02_clip0241,5,5.0,5,4,1,5,,5,3,1.0,3,5,1,5,,4
S01E02R02_clip0242,5,5.0,5,5,1,5,,5,3,1.0,3,3,1,5,,4
S01E02R02_clip0243,5,5.0,5,5,1,5,,5,3,1.0,3,3,1,5,,4
S01E02R02_clip0244,5,5.0,5,5,1,5,,5,3,1.0,3,3,1,5,,4
S01E02R02_clip0245,5,5.0,5,5,1,5,,5,3,1.0,3,3,1,5,,4
S01E02R02_clip0246,5,5.0,5,5,1,5,,5,3,1.0,3,3,6,5,,4
S01E02R02_clip0247,5,5.0,5,5,1,5,,5,3,1.0,3,3,5,5,,4
S01E02R02_clip0248,5,5.0,5,4,1,5,,5,3,1.0,3,4,5,5,,4
S01E02R02_clip0249,5,5.0,5,4,1,5,,5,3,1.0,1,5,5,5,,4
